Name,Number,Education
John Lions,0,Lions' Commentary on UNIX 6th Edition with Source Code (Lions Book)
Charles H. Lindsey,0,IFIP WG 2.1 member Revised Report on ALGOL 68
Richard J. Lipton,1,computational complexity theory
Barbara Liskov,3,programming languages
Yanhong Annie Liu,0,programming languages algorithms program design program optimization software systems optimizing analysis and transformations intelligent systems distributed computing computer security IFIP WG 2.1 member
Darrell Long,2,computer data storage computer security
Patricia D. Lopez,1,broadening participation in computing
Gillian Lovegrove,0,[]
Ada Lovelace,0,first programmer
David Luckham,0,Lisp Automated theorem proving Stanford Pascal Verifier Complex event processing Rational Software cofounder (Ada compiler)
Eugene Luks,0,[]
Nancy Lynch,7,[]
Nadia Magnenat Thalmann,2,computer graphics virtual actor
Tom Maibaum,1,[]
Simon Marlow,1,Haskell developer book author; co-developer: Glasgow Haskell Compiler Haxl remote data access library
Zohar Manna,4,fuzzy logic
James Martin,1,information engineering
Robert C. Martin,0,software craftsmanship
John Mashey,0,[]
Yuri Matiyasevich,3,solving Hilbert's tenth problem
Yukihiro Matsumoto,0,Ruby (programming language)
John Mauchly,3,designed ENIAC first general-purpose electronic digital computer as well as EDVAC BINAC and UNIVAC I the first commercial computer; worked with Jean Bartik on ENIAC and Grace Murray Hopper on UNIVAC
Ujjwal Maulik,0,[]
Derek McAuley,1,ubiquitous computing computer architecture networking
John McCarthy,6,Lisp (programming language) ALGOL IFIP WG 2.1 member artificial intelligence
Andrew McCallum,1,[]
Douglas McIlroy,0,macros pipes Unix philosophy
Chris McKinstry,0,artificial intelligence Mindpixel
Marshall Kirk McKusick,0,BSD Berkeley Fast File System
Lambert Meertens,2,ALGOL 68 IFIP WG 2.1 member ABC (programming language)
Kurt Mehlhorn,4,algorithms data structures LEDA
Dora Metcalf,0,entrepreneur engineer and mathematician
Bertrand Meyer,0,Eiffel (programming language)
Silvio Micali,3,cryptography
Robin Milner,5,ML (programming language)
Jack Minker,2,database logic
Marvin Minsky,6,artificial intelligence perceptrons Society of Mind
James G. Mitchell,1,WATFOR compiler Mesa (programming language) Spring (operating system) ARM architecture
Tom M. Mitchell,1,[]
Arvind Mithal,0,formal verification of large digital systems developing dynamic dataflow architectures parallel computing programming languages (Id pH) compiling on parallel machines
Paul Mockapetris,4,Domain Name System (DNS)
Cleve Moler,2,numerical analysis MATLAB
Faron Moller,0,concurrency theory
John P. Moon,0,inventor Apple Inc.
Charles H. Moore,0,Forth language
Edward F. Moore,0,Moore machine
Gordon Moore,9,Moore's law
J Strother Moore,0,string searching ACL2 theorem prover
Roger Moore,4,co-developed APL\360 created IPSANET co-founded I. P. Sharp Associates
Hans Moravec,0,robotics
Carroll Morgan,0,formal methods
Robert Tappan Morris,0,Morris worm
Joel Moses,0,Macsyma
Rajeev Motwani,1,randomized algorithm
Oleg A. Mukhanov,0,quantum computing developer co-founder and CTO of SeeQC
Stephen Muggleton,4,Inductive Logic Programming
Klaus-Robert Müller,1,machine learning artificial intelligence
Alan Mycroft,0,programming languages
Brad A. Myers,1,human-computer interaction
Mihai Nadin,0,anticipation research
Makoto Nagao,1,machine translation natural language processing digital library
Frieder Nake,0,pioneered computer arts
Bonnie Nardi,0,human–computer interaction
Peter Naur,2,Backus–Naur form (BNF) ALGOL 60 IFIP WG 2.1 member
Roger Needham,1,computer security
James G. Nell,0,Generalised Enterprise Reference Architecture and Methodology (GERAM)
Greg Nelson,1,satisfiability modulo theories extended static checking program verification Modula-3 committee Simplify theorem prover in ESC/Java
Bernard de Neumann,0,massively parallel autonomous cellular processor software engineering research
Klara Dan von Neumann,0,early computers ENIAC programmer and control designer
John von Neumann,6,early computers von Neumann machine set theory functional analysis mathematics pioneer linear programming quantum mechanics
Allen Newell,5,artificial intelligence Computer Structures
Max Newman,3,Colossus computer MADM
Andrew Ng,8,artificial intelligence machine learning robotics
Nils John Nilsson,0,artificial intelligence
G.M. Nijssen,0,Nijssen's Information Analysis Methodology (NIAM) object-role modeling
Tobias Nipkow,0,proof assistance
Maurice Nivat,7,theoretical computer science Theoretical Computer Science journal ALGOL IFIP WG 2.1 member
Phiwa Nkambule,3,Fintech artificial intelligence machine learning robotics
Jerre Noe,0,computerized banking
Peter Nordin,0,artificial intelligence genetic programming evolutionary robotics
Donald Norman,0,user interfaces usability
Peter Norvig,2,artificial intelligence Director of Research at Google
George Novacky,0,University of Pittsburgh: assistant department chair senior lecturer in computer science assistant dean of CAS for undergraduate studies
Kristen Nygaard,4,Simula object-oriented programming
Martin Odersky,0,Scala programming language
Peter O'Hearn,9,separation logic bunched logic Infer Static Analyzer
T. William Olle,0,Ferranti Mercury
Steve Omohundro,0,[]
Severo Ornstein,0,[]
John O'Sullivan,2,Wi-Fi
John Ousterhout,2,Tcl programming language
Mark Overmars,0,video game programming
Susan Owicki,0,interference freedom
Larry Page,0,co-founder of Google
Sankar Pal,1,[]
Paritosh Pandya,1,[]
Christos Papadimitriou,5,[]
David Park,0,first Lisp implementation expert in fairness program schemas bisimulation in concurrent computing
David Parnas,0,information hiding modular programming
DJ Patil,0,former Chief Data Scientist of United States
Yale Patt,0,Instruction-level parallelism speculative architectures
David Patterson,6,reduced instruction set computer (RISC) RISC-V redundant arrays of inexpensive disks (RAID) Berkeley Network of Workstations (NOW)
Mike Paterson,2,algorithms analysis of algorithms (complexity)
Mihai Pătraşcu,0,data structures
Lawrence Paulson,1,ML
Randy Pausch,5,"human–computer interaction Carnegie professor ""Last Lecture"""
Juan Pavón,0,software agents
Judea Pearl,5,artificial intelligence search algorithms
Alan Perlis,2,Programming Pearls
Radia Perlman,0,spanning tree protocol
Pier Giorgio Perotto,0,computer designer at Olivetti designer of the Programma 101 programmable calculator
Rózsa Péter,0,recursive function theory
Simon Peyton Jones,1,functional programming Glasgow Haskell Compiler C--
Kathy Pham,0,data artificial intelligence civic technology healthcare ethics
Roberto Pieraccini,0,speech technologist engineering director at Google
Gordon Plotkin,3,[]
Amir Pnueli,2,temporal logic
Willem van der Poel,1,computer graphics robotics geographic information systems imaging multimedia virtual environments games
Cicely Popplewell,0,British software engineer in 1960s
Emil Post,0,mathematics
Jon Postel,1,Internet
Franco Preparata,2,computer engineering computational geometry parallel algorithms computational biology
William H. Press,0,numerical algorithms
Rapelang Rabana,0,[]
Grzegorz Rozenberg,0,natural computing automata theory graph transformations and concurrent systems
Michael O. Rabin,10,nondeterministic machine
Dragomir R. Radev,0,natural language processing information retrieval
T. V. Raman,1,accessibility Emacspeak
Brian Randell,0,ALGOL 60 software fault tolerance dependability pre-1950 history of computing hardware
Anders P. Ravn,2,Duration Calculus
Raj Reddy,6,artificial intelligence
David P. Reed,0,[]
Trygve Reenskaug,0,model–view–controller (MVC) software architecture pattern
John C. Reynolds,1,continuations definitional interpreters defunctionalization Forsythe Gedanken language intersection types polymorphic lambda calculus relational parametricity separation logic ALGOL
Joyce K. Reynolds,0,Internet
Reinder van de Riet,0,Editor: Europe of Data and Knowledge Engineering COLOR-X event modeling language
Bernard Richards,0,medical informatics
Martin Richards,1,BCPL
Adam Riese,0,[]
C. J. van Rijsbergen,0,[]
Dennis Ritchie,8,C (programming language) Unix
Ron Rivest,5,RSA MD5 RC4
Ken Robinson,1,formal methods
Colette Rolland,0,REMORA methodology meta modelling
John Romero,0,codeveloped Doom
Azriel Rosenfeld,3,[]
Douglas T. Ross,3,Automatically Programmed Tools (APT) Computer-aided design structured analysis and design technique ALGOL X
Guido van Rossum,1,Python (programming language)
M. A. Rothman,0,UEFI
Winston W. Royce,0,waterfall model
Rudy Rucker,0,mathematician writer educator
Steven Rudich,1,complexity theory cryptography
Jeff Rulifson,0,[]
James Rumbaugh,0,Unified Modeling Language Object Management Group
Peter Ružička,0,Slovak computer scientist and mathematician
George Sadowsky,0,[]
Mehrnoosh Sadrzadeh,0,[]
Umar Saif,0,[]
Gerard Salton,0,information retrieval
Jean E. Sammet,3,programming languages
Claude Sammut,0,artificial intelligence researcher
Carl Sassenrath,0,operating systems programming languages Amiga REBOL
Mahadev Satyanarayanan,5,file systems distributed systems mobile computing pervasive computing
Walter Savitch,0,discovery of complexity class NL Savitch's theorem natural language processing mathematical linguistics
Jonathan Schaeffer,2,[]
Wilhelm Schickard,0,one of the first calculating machines
Jürgen Schmidhuber,0,artificial intelligence deep learning artificial neural networks recurrent neural networks Gödel machine artificial curiosity meta-learning
Steve Schneider,0,formal methods security
Bruce Schneier,0,cryptography security
Fred B. Schneider,5,concurrent and distributed computing
Sarita Schoenebeck,0,human–computer interaction
Glenda Schroeder,0,command-line shell e-mail
Bernhard Schölkopf,10,machine learning artificial intelligence
Dana Scott,6,domain theory
Michael L. Scott,0,programming languages algorithms distributed computing
Robert Sedgewick,1,algorithms data structures
Ravi Sethi,0,compilers 2nd Dragon Book
Nigel Shadbolt,1,[]
Adi Shamir,6,RSA cryptanalysis
Claude Shannon,10,information theory
David E. Shaw,0,computational finance computational biochemistry parallel architectures
Cliff Shaw,0,systems programmer artificial intelligence
Scott Shenker,5,networking
Shashi Shekhar,0,[]
Ben Shneiderman,1,human–computer interaction information visualization
Edward H. Shortliffe,0,MYCIN (medical diagnostic expert system)
Daniel Siewiorek,4,electronic design automation reliability computing context aware mobile computing wearable computing computer-aided design rapid prototyping fault tolerance
Joseph Sifakis,1,model checking
Herbert A. Simon,10,artificial intelligence
Munindar P. Singh,5,multiagent systems software engineering artificial intelligence social networks
Ramesh Sitaraman,0,helped build Akamai's high performance network
Daniel Sleator,1,splay tree amortized analysis
Aaron Sloman,0,artificial intelligence and cognitive science
Arne Sølvberg,0,information modelling
Brian Cantwell Smith,0,reflection (computer science) 3lisp
David Canfield Smith,1,invented interface icons programming by demonstration developed graphical user interface Xerox Star; Xerox PARC researcher cofounded Dest Systems Cognition
Steven Spewak,0,enterprise architecture planning
Carol Spradling,0,[]
Robert Sproull,0,[]
Rohini Kesavan Srihari,0,information retrieval text analytics multilingual text mining
Sargur Srihari,3,pattern recognition machine learning computational criminology CEDAR-FOX
Maciej Stachowiak,0,GNOME Safari WebKit
Richard Stallman,5,GNU Project
Ronald Stamper,0,[]
Richard E. Stearns,2,computational complexity theory
"Guy L. Steele, Jr.",2,Scheme Common Lisp
Thomas Sterling,6,creator of Beowulf clusters
Alexander Stepanov,0,generic programming
W. Richard Stevens,0,author of books including TCP/IP Illustrated and Advanced Programming in the Unix Environment
Larry Stockmeyer,0,computational complexity distributed computing
Salvatore Stolfo,0,computer security machine learning
Michael Stonebraker,2,relational database practice and theory
Olaf Storaasli,0,finite element machine linear algebra high performance computing
Christopher Strachey,0,denotational semantics
Volker Strassen,0,matrix multiplication integer multiplication Solovay–Strassen primality test
Bjarne Stroustrup,11,C++
Madhu Sudan,3,computational complexity theory coding theory
Gerald Jay Sussman,2,Scheme
Bert Sutherland,1,graphics Internet
Ivan Sutherland,8,graphics
Latanya Sweeney,0,Data privacy and algorithmic fairness
Mario Szegedy,1,complexity theory quantum computing
Parisa Tabriz,0,Google Director of Engineering also known as the Security Princess
Roberto Tamassia,0,computational geometry computer security
Andrew S. Tanenbaum,0,operating systems MINIX
Austin Tate,1,Artificial Intelligence Applications AI Planning Virtual Worlds
Bernhard Thalheim,1,conceptual modelling foundation
Éva Tardos,5,[]
Gábor Tardos,4,[]
Robert Tarjan,3,splay tree
Valerie Taylor,5,[]
Mario Tchou,0,Italian engineer of Chinese descent leader of Olivetti Elea project
Jaime Teevan,3,[]
Shang-Hua Teng,1,analysis of algorithms
Larry Tesler,0,human–computer interaction graphical user interface Apple Macintosh
Avie Tevanian,0,Mach kernel team NeXT Mac OS X
Charles P. Thacker,3,Xerox Alto Microsoft Research
Daniel Thalmann,4,computer graphics virtual actor
Ken Thompson,9,Unix
Sebastian Thrun,3,AI researcher pioneered autonomous driving
Walter F. Tichy,0,RCS
Seinosuke Toda,0,computation complexity recipient of 1998 Gödel Prize
Linus Torvalds,0,Linux kernel Git
Leonardo Torres Quevedo,8,invented El Ajedrecista (the chess player) in 1912  a true automaton built to play chess without human guidance. In his work Essays on Automatics (1913) introduced the idea of floating-point arithmetic. In 1920 built an early electromechanical device of the Analytical Engine.
Godfried Toussaint,0,computational geometry computational music theory
Gloria Townsend,1,[]
Edwin E. Tozer,0,business information systems
Joseph F Traub,0,computational complexity of scientific problems
John V. Tucker,0,computability theory
John Tukey,7,founder of FFT algorithm box plot exploratory data analysis and Coining the term 'bit'
Alan Turing,1,British computing pioneer Turing machine algorithms cryptology computer architecture
David Turner,0,SASL Kent Recursive Calculator Miranda IFIP WG 2.1 member
Murray Turoff,1,computer-mediated communication
Jeffrey D. Ullman,4,compilers databases complexity theory
Leslie Valiant,6,computational complexity theory computational learning theory
Vladimir Vapnik,11,pattern recognition computational learning theory
Moshe Vardi,7,professor of computer science at Rice University
Dorothy Vaughan,0,[]
Bernard Vauquois,0,pioneered computer science in France machine translation (MT) theory and practice including Vauquois triangle ALGOL 60
Umesh Vazirani,1,[]
Manuela M. Veloso,3,[]
François Vernadat,0,enterprise modeling
Richard Veryard,0,enterprise modeling
Sergiy Vilkomir,1,software testing RC/DC
Paul Vitanyi,0,Kolmogorov complexity Information distance Normalized compression distance Normalized Google distance
Andrew Viterbi,8,Viterbi algorithm
Jeffrey Scott Vitter,0,external memory algorithms compressed data structures data compression databases
Paul Vixie,0,DNS BIND PAIX Internet Software Consortium MAPS DNSBL
Eiiti Wada,0,ALGOL N IFIP WG 2.1 member Japanese Industrial Standards (JIS) X 0208 0212 Happy Hacking Keyboard
David Wagner,0,security cryptography
David Waltz,2,[]
James Z. Wang,0,[]
Steve Ward,0,[]
Manfred K. Warmuth,1,computational learning theory
David H. D. Warren,0,AI logic programming Prolog Warren Abstract Machine (WAM)
Kevin Warwick,4,artificial intelligence
Jan Weglarz,0,[]
Philip Wadler,4,functional programming Haskell Monad Java logic
Peter Wegner,2,object-oriented programming interaction (computer science)
Joseph Henry Wegstein,0,ALGOL 58 ALGOL 60 IFIP WG 2.1 member data processing technical standards fingerprint analysis
Peter J. Weinberger,0,programming language design the 'w' in AWK
Mark Weiser,0,ubiquitous computing
Joseph Weizenbaum,0,artificial intelligence ELIZA
David Wheeler,3,EDSAC subroutines
Franklin H. Westervelt,0,use of computers in engineering education conversational use of computers Michigan Terminal System (MTS) ARPANET distance learning
Steve Whittaker,3,human computer interaction computer support for cooperative work social media
Jennifer Widom,6,nontraditional data management
Gio Wiederhold,3,database management systems
Norbert Wiener,2,Cybernetics
Adriaan van Wijngaarden,1,Dutch pioneer; ARRA ALGOL IFIP WG 2.1 member
Mary Allen Wilkes,0,LINC developer assembler-linker designer
Maurice Vincent Wilkes,5,microprogramming EDSAC
Yorick Wilks,1,computational linguistics artificial intelligence
James H. Wilkinson,3,numerical analysis
Sophie Wilson,6,ARM architecture
Shmuel Winograd,0,Coppersmith–Winograd algorithm
Terry Winograd,1,artificial intelligence SHRDLU
Patrick Winston,1,artificial intelligence
Niklaus Wirth,5,ALGOL W IFIP WG 2.1 member Pascal Modula Oberon
Neil Wiseman,0,computer graphics
Dennis E. Wisnosky,0,Integrated Computer-Aided Manufacturing (ICAM) IDEF
Stephen Wolfram,1,Mathematica
Mike Woodger,0,Pilot ACE ALGOL 60 Ada (programming language)
Philip Woodward,3,ambiguity function sinc function comb operator rep operator ALGOL 68-R
Beatrice Helen Worsley,0,wrote the first PhD dissertation involving modern computers; was one of the people who wrote Transcode
Steve Wozniak,0,engineered first generation personal computers at Apple Computer
Jie Wu,0,computer networks
William Wulf,0,BLISS system programming language + optimizing compiler Hydra operating system Tartan Laboratories
Mihalis Yannakakis,1,[]
Andrew Chi-Chih Yao,4,[]
John Yen,2,[]
Nobuo Yoneda,0,Yoneda lemma Yoneda product ALGOL IFIP WG 2.1 member
Edward Yourdon,1,Structured Systems Analysis and Design Method
Moti Yung,6,[]
Lotfi Zadeh,12,fuzzy logic
Hans Zantema,0,termination analysis
Arif Zaman,0,pseudo-random number generator
Stanley Zdonik,0,database management systems
Hussein Zedan,0,formal methods and real-time systems
Shlomo Zilberstein,0,artificial intelligence anytime algorithms automated planning and decentralized POMDPs
Jill Zimmerman,0,James M. Beall Professor of Mathematics and Computer Science at Goucher College
Konrad Zuse,5,German pioneer of hardware and software
